INFO	Title	Rhabdomyosarcoma (RMS) Data Dictionary									
INFO	Name	rms_v2.0									
INFO	Release Notes										
INFO	Parent Data Model	pcdc_v2.0									
INFO	License	Creative Commons Attribution-NonCommercial 4.0 International License (https://creativecommons.org/licenses/by-nc/4.0/)									
INFO	D4CG Data Modeling Wiki	https://docs.pedscommons.org/									
INFO	Disease Consortium Information	https://commons.cri.uchicago.edu/pcdc/									
INFO	Description	The RMS data dictionary is a consensus data schema built by an international group of pediatric rhabdomyosarcoma experts and maintained by Data for the Common Good (D4CG) at the University of Chicago in collaboration with the International Soft Tissue Sarcoma Consortium (INSTRuCT). It is based on the collective requirements of its contributors.									
INFO	Total Variables										
											
RowType	VariableName	DataType	Tier	VariableDescription	VariableEnum	PermissibleValue	ValueDescription	ValueEnum	ImplementationNotes	Mappings	Modeling Notes (ignored in processing)
PD						Foot					
PD						Brain					
PD						Paraspinal					
PD						Vagina					
PD						Eyelid					
PD						Orbit					
PD						Cheek					
PD						Hypopharynx					
PD						Larynx					
PD						Oral Cavity					
PD						Oropharynx					
PD						Parotid					
PD						Thyroid and Parathyroid					
PD						Middle Ear					
PD						Nasal Cavity and Paranasal Sinuses					
PD						Nasal Cavity					
PD						Paranasal Sinuses					
PD						Nasopharynx					
PD						Infratemporal Fossa/Pterygopalatine and Parapharyngeal Area					
PD						Infratemporal Fossa/Pterygopalatine					
PD						Parapharyngeal Area					
PD						Bladder					
PD						Prostate					
PD						Bladder/Prostate					
PD						Cervix					
PD						Uterus					
PD						Vulva					
PD						Thorax					
PD						Anal/Perianal					
PD						Trunk					
PD						Bone or Bone Marrow					
PD						Bone					
PD						Bone Marrow					
PD						Distant Lymph Nodes					
PD						Pleural Effusion					
PD						Soft Tissue					
PD						Liver/Biliary Tract					
PD						Lung					
PD						Other					
PD						Unknown					
PD						Not Reported					
VD	ENERGY_TYPE	Enum		Treatment of a disease by means of exposure of the target or the whole body to radiation. Radiation therapy is often used as part of curative therapy and occasionally as a component of palliative treatment for cancer. Other uses include total body irradiation prior to transplantation.		_undefined_	_undefined_	_undefined_			
PD						Protons	A type of external beam radiation therapy using a beam of protons. It has the advantage of precisely localizing the radiation dose on the targeted tissue and avoiding damage to the healthy surrounding tissues.	C66897			
PD						Photon	A single unit of electromagnetic radiation, generally considered to be a discrete particle having no mass or charge.	C88112			
PD						Brachytherapy	A type of radiation therapy in which radioactive material is placed inside the body, into a tumor or body cavity.	C15195			
PD						Electrons					
PD						Unknown	Reported as unknown by the data contributor.	C17998			
VD	DOSE	Integer		The total radiation dose administered.		_undefined_	_undefined_	_undefined_		[rms_v1.0].[Radiation Therapy].[RT_DOSE] skos:exactMatch [rms_v2.0].[Radiation Therapy].[DOSE]	
VD	DOSE_UNIT	Enum		A unit of measurement of the dose of radiation received or absorbed.		_undefined_	_undefined_	_undefined_		[rms_v1.0].[Radiation Therapy].[RT_UNIT] skos:exactMatch [rms_v2.0].[Radiation Therapy].[DOSE_UNIT]	
PD						Gy	A SI derived unit of absorbed radiation dose. One gray is equal to an absorbed dose of one joule per kilogram of matter, or to 100 rads.	C18063			
											
											
DD	Treatment										
TD	Biopsy And Surgical Procedures									[rms_v1.0].[Biopsy/Surgical Procedures] skos:exactMatch [rms_v2.0].[Biopsy And Surgical Procedures]	
TG	One record per subject per surgical procedure										
VD	HONEST_BROKER_SUBJECT_ID	String		The identifier assigned to the subject by the honest broker. An individual, organization or system acting for, or on behalf of, a covered entity to collect and provide health information to research investigators in such a manner whereby it would not be reasonably possible for the investigators or others to identify the corresponding patients-subjects directly or indirectly. The honest broker cannot be one of the investigators. The information provided to the investigators by the honest broker may incorporate linkage codes to permit information collation and/or subsequent inquiries (i.e., a "re-identification code"), however the information linking this re- identification code to the patient's identity must be retained by the honest broker and subsequent inquiries are conducted through the honest broker.	ncit:C168949	_undefined_	_undefined_	_undefined_		New VD	
VD	AGE_AT_PROCEDURE	Integer		Age of subject (in days) at procedure.		_undefined_	_undefined_	_undefined_			
VD	TIME_PERIOD_SUBMITTER_ID	String		This is the SUBMITTER_ID of the time period (defined in the "Time Period" table) during which this observation takes place.		_undefined_	_undefined_	_undefined_		New VD	
VD	CLASSIFICATION	Enum		The classification of a tumor based primarily on histopathological characteristics.		_undefined_	_undefined_	_undefined_		[rms_v1.0].[Biopsy/Surgical Procedures].[TUMOR_CLASSIFICATION] skos:exactMatch [rms_v2.0].[Biopsy And Surgical Procedures].[CLASSIFICATION]	
PD						Primary	A tumor at the original site of origin.	C8509			
PD						Regional			Changed from "Regional Nodes" to "Regional" BTF 20210801		
PD						Metastatic	A tumor that has spread from its original (primary) site of growth to another site, close to or distant from the primary site. Metastasis is characteristic of advanced malignancies, but in rare instances can be seen in neoplasms lacking malignant morphology.	C3261			
PD						Unknown	Reported as unknown by the data contributor.	C17998			
PD						Not Reported	Not provided or available.	C43234			
VD	SITE	Enum		The anatomical site on which surgery was performed.		_undefined_	_undefined_	_undefined_		[rms_v1.0].[Biopsy/Surgical Procedures].[PROCEDURE_SITE] skos:exactMatch [rms_v2.0].[Biopsy And Surgical Procedures].[SITE]	
PD						Abdomen					
PD						Anal/Perianal					
PD						Bladder					
PD						Bladder/Prostate					
PD						Bone					
PD						Bone Marrow					
PD						Bone or Bone Marrow					
PD						Brain					
PD						Cervix					
PD						Cheek					
PD						Distant Lymph Nodes					
PD						Eyelid					
PD						Foot					
PD						Forearm					
PD						Hand					
PD						Hypopharynx					
PD						Infratemporal Fossa/Pterygopalatine					
PD						Infratemporal Fossa/Pterygopalatine and Parapharyngeal Area					
PD						Kidney					
PD						Knee					
PD						Larynx					
PD						Leg					
PD						Liver/Biliary Tract					
PD						Lower Leg					
PD						Lung					
PD						Middle Ear					
PD						Nasal Cavity					
PD						Nasal Cavity and Paranasal Sinuses					
PD						Nasopharynx					
PD						Neck					
PD						Oral Cavity					
PD						Orbit					
PD						Oropharynx					
PD						Ovary					
PD						Paranasal Sinuses					
PD						Parapharyngeal Area					
PD						Paraspinal					
PD						Paratesticular					
PD						Parotid					
PD						Pelvis					
PD						Perineum					
PD						Pleural Effusion					
PD						Prostate					
PD						Retroperitoneum					
PD						Scalp					
PD						Shoulder					
PD						Soft Tissue					
PD						Thigh					
PD						Thorax					
PD						Thyroid and Parathyroid					
PD						Trunk					
PD						Upper Arm					
PD						Uterus					
PD						Vagina					
PD						Vulva					
PD						Other					
PD						Unknown					
PD						Not Reported					
VD	PROCEDURE_TYPE	Enum		A categorization of surgical procedures by type or purpose.		_undefined_	_undefined_	_undefined_			
PD						Surgery	A diagnostic or treatment procedure performed by manual and/or instrumental means, often involving an incision and the removal or replacement of a diseased organ or tissue; of or relating to or involving or used in surgery or requiring or amenable to treatment by surgery.	C15329			
PD						Biopsy	The removal of tissue specimens or fluid from the living body for microscopic examination, performed to establish a diagnosis.	C15189			
VD	MARGINS	Enum		One of the criteria for assessment of the effectiveness of given surgical procedure in achieving the local control of a neoplasm and the adequacy of tumor removal. It is defined by the tissue plane through which the dissection has been done and the actual or potential neoplastic tissue which has been left outside the boundary of a resected specimen within the patient. There are four types of surgical margins: intracapsular or intralesional, marginal, wide, and radical.		_undefined_	_undefined_	_undefined_			
PD						Incomplete Resection					
PD						R0 - Complete Resection, Negative	No detectable presence of residual tumor after treatment	C139578			
PD						R1 - Complete Resection, Positive	Presence of microscopic residual tumor after treatment.	C139579			
PD						R2 - Gross Residual Disease	Presence of macroscopic residual tumor after treatment.	C139580			
PD						Gross Total Resection, Unknown Margins					
PD						Unknown	Reported as unknown by the data contributor.	C17998			
PD						Not Reported	Not provided or available.	C43234			
											
											
DD	Response										
TD	Subject Response										
TG	One row per subject per response assessment per response method										
VD	HONEST_BROKER_SUBJECT_ID	String		The identifier assigned to the subject by the honest broker. An individual, organization or system acting for, or on behalf of, a covered entity to collect and provide health information to research investigators in such a manner whereby it would not be reasonably possible for the investigators or others to identify the corresponding patients-subjects directly or indirectly. The honest broker cannot be one of the investigators. The information provided to the investigators by the honest broker may incorporate linkage codes to permit information collation and/or subsequent inquiries (i.e., a "re-identification code"), however the information linking this re- identification code to the patient's identity must be retained by the honest broker and subsequent inquiries are conducted through the honest broker.	ncit:C168949	_undefined_	_undefined_	_undefined_		New VD	
VD	AGE_AT_RESPONSE	Integer		Age of subject (in days) when the response assessment was made.		_undefined_	_undefined_	_undefined_			
VD	TX_PRIOR_RESPONSE	Enum		Treatment Type Prior to Response Assessment		_undefined_	_undefined_	_undefined_			
PD						Chemotherapy					
PD						Chemoradiotherapy					
VD	RESPONSE	Enum		The pathologic and/or clinical changes that result from treatment. The changes may include eradication of detectable disease, stabilization of disease, or disease progression.		_undefined_	_undefined_	_undefined_			
PD						Partial Response					
PD						Stable Disease					
PD						Progressive Disease					
PD						Complete Response					
PD						Not Evaluable					
											
											
DD	Events										
TD	Subsequent Malignant Neoplasm									[rms_v1.0].[Secondary Malignant Neoplasm] skos:exactMatch [rms_v2.0].[Subsequent Malignant Neoplasm]	
TG	One row per subject per subsequent malignancy										
VD	AGE_AT_SMN	Integer		Age in Days at Subsequent Malignant Neoplasm	C168860	_undefined_	_undefined_	_undefined_			
