INFO	Title	PCDC Data Model										
INFO	Name	pcdc_v2.0										
INFO	Release Notes	https://github.com/chicagopcdc/d4cg-modeling/tree/main/pcdc/pcdc/pcdc_v2.0										
INFO	Used By	aml_v2.0, gct_v2.0, hl_v2.0, nbl_v2.0, nrsts_v2.0, rms_v2.0										
INFO	License	Creative Commons Attribution-NonCommercial 4.0 International License (https://creativecommons.org/licenses/by-nc/4.0/)										
INFO	D4CG Data Modeling Wiki	https://docs.pedscommons.org/										
INFO	Description	Each disease group in the PCDC network uses a disease-specific data dictionary as the target schema for their data harmonization efforts. The PCDC data model is the full collection these consensus data elements.										
INFO	Total Variables	409										
												
RowType	VariableName	DataType	Tier	VariableSource	VariableDescription	VariableCode	PermissibleValue	ValueSource	ValueDescription	ValueCode	ImplementationNotes	Mappings
PD							Unknown	rms_v2.0	Reported as unknown by the data contributor.	ncit:C17998		
PD							Not Reported	rms_v2.0	Not provided or available.	ncit:C43234		
												
												
TD	Medication											
TG	Refer to each data dictionary for specific table implementation guidance											
VD	HONEST_BROKER_SUBJECT_ID	String	n/a	aml_v2.0 | gct_v2.0 | hl_v2.0	The identifier assigned to the subject by the honest broker. An individual, organization or system acting for, or on behalf of, a covered entity to collect and provide health information to research investigators in such a manner whereby it would not be reasonably possible for the investigators or others to identify the corresponding patients-subjects directly or indirectly. The honest broker cannot be one of the investigators. The information provided to the investigators by the honest broker may incorporate linkage codes to permit information collation and/or subsequent inquiries (i.e., a "re-identification code"), however the information linking this re- identification code to the patient's identity must be retained by the honest broker and subsequent inquiries are conducted through the honest broker.	ncit:C168949	_undefined_	_undefined_	_undefined_	_undefined_		
VD	AGE_AT_MEDICATION_START	Integer	n/a	aml_v2.0 | gct_v2.0 | hl_v2.0	The age (in days) of the subject at the start of this medication treatment.	ncit:C172698	_undefined_	_undefined_	_undefined_	_undefined_		
VD	AGE_AT_MEDICATION_END	Integer	n/a	aml_v2.0 | gct_v2.0 | hl_v2.0	The age (in days) of the subject at the end of this medication treatment.	ncit:C172686	_undefined_	_undefined_	_undefined_	_undefined_		
VD	TIME_PERIOD_SUBMITTER_ID	String	n/a	aml_v2.0 | gct_v2.0 | hl_v2.0	This is the SUBMITTER_ID of the time period (defined in the "Time Period" table) during which this observation takes place.		_undefined_	_undefined_	_undefined_	_undefined_		
VD	CATEGORY	Enum	n/a	aml_v2.0 | gct_v2.0 | hl_v2.0	A classification of medication agents.		_undefined_	_undefined_	_undefined_	_undefined_		
PD							Chemotherapeutic Agent	aml_v2.0	A substance that inhibits the maturation, growth or spread of tumor cells.	ncit:C274		
PD							Concomitant Agent	aml_v2.0	A pharmaceutical agent other than agent(s) tested in a given protocol that is administered to or used by a subject either prior to or during the study. Supportive care and essential ancillary medications required by a treatment regimen should be clearly identified. A protocol's complete instructions including appropriate indication, dosage, administration route, schedule, restrictions to use, and any other relevant data should be explicitly stated. Concept also refers to substance(s) used prior or during the study that are not specified by the protocol.	ncit:C70902		
PD							Antineoplastic Agent	gct_v2.0 | hl_v2.0		ncit:C274		
PD							Supportive Care Agent	gct_v2.0 | hl_v2.0		ncit:C70902		
VD	ADMINISTRATION_STATUS	Enum	n/a	aml_v2.0	The status of the medication administration.	ncit:C173297	_undefined_	_undefined_	_undefined_	_undefined_		
PD							Medication Administered	aml_v2.0	An indication that medication was administered.	ncit:C173298		
PD							Medication Not Administered	aml_v2.0	An indication that medication was not administered.	ncit:C173299		
PD							Unknown	aml_v2.0	Reported as unknown by the data contributor.	ncit:C17998		
PD							Not Reported	aml_v2.0	Not provided or available.	ncit:C43234		
VD	ROUTE	Enum	n/a	aml_v2.0 | hl_v2.0	The intended area to be affected by the choice of a particular route of administration of a medication.	ncit:C186559	_undefined_	_undefined_	_undefined_	_undefined_		
PD							Systemic	aml_v2.0 | hl_v2.0	Immunotherapy that is disseminated throughout the body via the bloodstream.	ncit:C173291		
PD							Intrathecal	aml_v2.0 | hl_v2.0	Immunotherapy that is administered into the cerebrospinal fluid.	ncit:C173292		
PD							Unknown	aml_v2.0	Reported as unknown by the data contributor.	ncit:C17998		
PD							Not Reported	aml_v2.0	Not provided or available.	ncit:C43234		
VD	MEDICATION	Enum	n/a	aml_v2.0 | gct_v2.0 | hl_v2.0	A dosage form that contains one or more active and/or inactive ingredients. Medications come in many dosage forms, including tablets, capsules, liquids, creams, and patches. They can also be given in different ways, such as by mouth, by infusion into a vein, or by drops that are put into the ear or eye. The form with the active ingredient is used to prevent, diagnose, treat, or relieve symptoms of a disease or abnormal condition. A medication that does not contain an active ingredient and is used in research studies is called a placebo. Also called drug product.	ncit:C459	_undefined_	_undefined_	_undefined_	_undefined_		
PD							Amsacrine	aml_v2.0	An aminoacridine derivative with potential antineoplastic activity. Although its mechanism of action is incompletely defined, amsacrine may intercalate into DNA and inhibit topoisomerase II, resulting in DNA double-strand breaks, arrest of the S/G2 phase of the cell cycle, and cell death. This agent's cytotoxicity is maximal during the S phase of the cell cycle when topoisomerase levels are greatest. In addition, amsacrine may induce transcription of tumor promoter p53 protein and block p53 ubiquitination and proteasomal degradation, resulting in p53-dependent tumor cell apoptosis.	ncit:C240 | rxcui:739		
PD							Arsenic Trioxide	aml_v2.0	A small-molecule arsenic compound with antineoplastic activity. The mechanism of action of arsenic trioxide is not completely understood. This agent causes damage to or degradation of the promyelocytic leukemia protein/retinoic acid receptor-alpha (PML/RARa) fusion protein; induces apoptosis in acute promyelocytic leukemia (APL) cells and in many other tumor cell types; promotes cell differentiation and suppresses cell proliferation in many different tumor cell types; and is pro-angiogenic. (NCI04)	ncit:C1005 | rxcui:18330		
PD							Bortezomib	aml_v2.0	A dipeptide boronic acid analogue with antineoplastic activity. Bortezomib reversibly inhibits the 26S proteasome, a large protease complex that degrades ubiquinated proteins. By blocking the targeted proteolysis normally performed by the proteasome, bortezomib disrupts various cell signaling pathways, leading to cell cycle arrest, apoptosis, and inhibition of angiogenesis. Specifically, the agent inhibits nuclear factor (NF)-kappaB, a protein that is constitutively activated in some cancers, thereby interfering with NF-kappaB-mediated cell survival, tumor growth, and angiogenesis. In vivo, bortezomib delays tumor growth and enhances the cytotoxic effects of radiation and chemotherapy.	ncit:C1851 | rxcui:358258		
PD							Busulfan	aml_v2.0 | hl_v2.0	A synthetic derivative of dimethane-sulfonate with antineoplastic and cytotoxic properties. Although its mechanism of action is not fully understood, busulfan appears to act through the alkylation of DNA. Following systemic absorption of busulfan, carbonium ions are formed, resulting in DNA alkylation and DNA breaks and inhibition of DNA replication and RNA transcription. (NCI04)	ncit:C321 | rxcui:1828		
PD							Cladribine	aml_v2.0	A purine nucleoside antimetabolite analogue. Cladribine triphosphate, a phosphorylated metabolite of cladribine, incorporates into DNA, resulting in single-strand breaks in DNA, depletion of nicotinamide adenine dinucleotide (NAD) and adenosine triphosphate (ATP), and apoptosis.	ncit:C1336 | rxcui:44157		
PD							Clofarabine	aml_v2.0	A second generation purine nucleoside analog with antineoplastic activity.	ncit:C26638 | rxcui:44151		
PD							Cyclophosphamide	aml_v2.0 | gct_v2.0 | hl_v2.0	A synthetic alkylating agent chemically related to the nitrogen mustards with antineoplastic and immunosuppressive activities. In the liver, cyclophosphamide is converted to the active metabolites aldophosphamide and phosphoramide mustard, which bind to DNA, thereby inhibiting DNA replication and initiating cell death.	ncit:C405 | rxcui:3002		
PD							Cytarabine	aml_v2.0 | hl_v2.0	An antimetabolite analogue of cytidine with a modified sugar moiety (arabinose instead of ribose). Cytarabine is converted to the triphosphate form within the cell and then competes with cytidine for incorporation into DNA. Because the arabinose sugar sterically hinders the rotation of the molecule within DNA, DNA replication ceases, specifically during the S phase of the cell cycle. This agent also inhibits DNA polymerase, resulting in a decrease in DNA replication and repair. (NCI04)	ncit:C408 | rxcui:3041		
PD							Daunorubicin	aml_v2.0	An anthracycline antineoplastic antibiotic with therapeutic effects similar to those of doxorubicin. Daunorubicin exhibits cytotoxic activity through topoisomerase-mediated interaction with DNA, thereby inhibiting DNA replication and repair and RNA and protein synthesis.	ncit:C62091 | rxcui:3109		
PD							Daunorubicin (Liposomal)	aml_v2.0	A liposome-encapsulated form of the citrate salt of the anthracycline antineoplastic antibiotic daunorubicin. Daunorubicin intercalates into DNA and interacts with topoisomerase II, thereby inhibiting DNA replication and repair and RNA and protein synthesis. Liposomal delivery of doxorubicin citrate improves drug penetration into tumors and decreases drug clearance, thereby increasing the duration of therapeutic drug effects.	ncit:C2213 | rxcui:214468		
PD							Daunorubicin and Cytarabine (Liposomal)	aml_v2.0	A liposomal formulation containing a fixed combination of the antineoplastic agents cytarabine and daunorubicin in a 5:1 molar ratio. Liposome-encapsulated daunorubicin-cytarabine has been designed to provide optimal delivery of a specific ratio of cytarabine to daunorubicin, one that has been shown to be synergistic in vitro. The antimetabolite cytarabine competes with cytidine for incorporation into DNA, inhibiting DNA synthesis. This agent also inhibits DNA polymerase, resulting in a decrease in DNA replication and repair. Daunorubicin, an intercalator and a topoisomerase II inhibitor, prevents DNA replication and inhibits protein synthesis. This agent also generates oxygen free radicals, resulting in the cytotoxic lipid peroxidation of cell membrane lipids.	ncit:C67504 | rxcui:2017575		
PD							Dexrazoxane	aml_v2.0 | hl_v2.0	A bisdioxopiperazine with iron-chelating, chemoprotective, cardioprotective, and antineoplastic activities. After hydrolysis to an active form that is similar to ethylenediaminetetraacetic acid (EDTA), dexrazoxane chelates iron, limiting the formation of free radical-generating anthracycline-iron complexes, which may minimize anthracycline-iron complex-mediated oxidative damage to cardiac and soft tissues. This agent also inhibits the catalytic activity of topoisomerase II, which may result in tumor cell growth inhibition.	ncit:C1333		
PD							Doxorubicin	aml_v2.0 | hl_v2.0	An anthracycline antibiotic with antineoplastic activity. Doxorubicin, isolated from the bacterium Streptomyces peucetius var. caesius, is the hydroxylated congener of daunorubicin. Doxorubicin intercalates between base pairs in the DNA helix, thereby preventing DNA replication and ultimately inhibiting protein synthesis. Additionally, doxorubicin inhibits topoisomerase II which results in an increased and stabilized cleavable enzyme-DNA linked complex during DNA replication and subsequently prevents the ligation of the nucleotide strand after double-strand breakage. Doxorubicin also forms oxygen free radicals resulting in cytotoxicity secondary to lipid peroxidation of cell membrane lipids; the formation of oxygen free radicals also contributes to the toxicity of the anthracycline antibiotics, namely the cardiac and cutaneous vascular effects.	ncit:C456 | rxcui:3639		
PD							Etoposide	aml_v2.0 | gct_v2.0 | hl_v2.0	A semisynthetic derivative of podophyllotoxin, a substance extracted from the mandrake root Podophyllum peltatum. Possessing potent antineoplastic properties, etoposide binds to and inhibits topoisomerase II and its function in ligating cleaved DNA molecules, resulting in the accumulation of single- or double-strand DNA breaks, the inhibition of DNA replication and transcription, and apoptotic cell death. Etoposide acts primarily in the G2 and S phases of the cell cycle. (NCI04)	ncit:C491 | rxcui:4179		
PD							Fludarabine	aml_v2.0 | hl_v2.0	A fluorinated nucleotide antimetabolite analog of the antiviral agent vidarabine (ara-A) with antineoplastic activity. Administered parenterally as a phosphate salt, fludarabine phosphate is rapidly dephosphorylated to 2-fluoro-ara-A and then phosphorylated intracellularly by deoxycytidine kinase to the active triphosphate, 2-fluoro-ara-ATP. This metabolite may inhibit DNA polymerase alpha, ribonucleotide reductase and DNA primase, thereby interrupting DNA synthesis and inhibiting tumor cell growth. (NCI04)	ncit:C1094		
PD							Gemtuzumab Ozogamicin	aml_v2.0	A recombinant, humanized anti-CD33 monoclonal antibody attached to the cytotoxic antitumor antibiotic calicheamicin. In this conjugate, the antibody binds to and is internalized by tumor cells expressing CD33 antigen (a sialic acid-dependent glycoprotein commonly found on the surface of leukemic blasts), thereby delivering the attached calicheamicin to CD33-expressing tumor cells. Calicheamicin binds to the minor groove of DNA, causing double strand DNA breaks and resulting in inhibition of DNA synthesis. (NCI04)	ncit:C1806 | rxcui:1294580		
PD							Gilteritinib	aml_v2.0	An orally bioavailable inhibitor of the receptor tyrosine kinases (RTKs) FMS-related tyrosine kinase 3 (FLT3, STK1, or FLK2), AXL (UFO or JTK11) and anaplastic lymphoma kinase (ALK or CD246), with potential antineoplastic activity. Gilteritinib binds to and inhibits both the wild-type and mutated forms of FLT3, AXL and ALK. This may result in an inhibition of FLT3, AXL, and ALK-mediated signal transduction pathways and reduces tumor cell proliferation in cancer cell types that overexpress these RTKs. FLT3, AXL and ALK, overexpressed or mutated in a variety of cancer cell types, play a key role in tumor cell growth and survival.	ncit:C116722 | rxcui:2105806		
PD							Hydrocortisone Sodium Succinate	aml_v2.0	The sodium salt of hydrocortisone succinate with glucocorticoid property. Hydrocortisone sodium succinate is chemically similar to the endogenous hormone that stimulates anti-inflammatory and immunosuppressive activities, in addition to exhibiting minor mineralocorticoid effects. This agent binds to intracellular glucocorticoid receptors and is translocated into the nucleus, where it initiates the transcription of glucocorticoid-responsive genes, such as various cytokines and lipocortins. Lipocortins inhibit phospholipase A2, thereby blocking the release of arachidonic acid from membrane phospholipids and preventing the synthesis of prostaglandins and leukotrienes, both potent mediators of inflammation.	ncit:C1819 | rxcui:235483		
PD							Idarubicin	aml_v2.0	A semisynthetic 4-demethoxy analogue of the antineoplastic anthracycline antibiotic daunorubicin.	ncit:C562 | rxcui:5650		
PD							Melphalan	aml_v2.0 | gct_v2.0 | hl_v2.0	A phenylalanine derivative of nitrogen mustard with antineoplastic activity. Melphalan alkylates DNA at the N7 position of guanine and induces DNA inter-strand cross-linkages, resulting in the inhibition of DNA and RNA synthesis and cytotoxicity against both dividing and non-dividing tumor cells.	ncit:C633 | rxcui:6718		
PD							Methotrexate	aml_v2.0 | hl_v2.0	An antimetabolite and antifolate agent with antineoplastic and immunosuppressant activities. Methotrexate binds to and inhibits the enzyme dihydrofolate reductase, resulting in inhibition of purine nucleotide and thymidylate synthesis and, subsequently, inhibition of DNA and RNA syntheses. Methotrexate also exhibits potent immunosuppressant activity although the mechanism(s) of actions is unclear.	ncit:C642 | rxcui:6851		
PD							Midostaurin	aml_v2.0	A synthetic indolocarbazole multikinase inhibitor with potential antiangiogenic and antineoplastic activities. Midostaurin inhibits protein kinase C alpha (PKCalpha), vascular endothelial growth factor receptor 2 (VEGFR2), c-kit, platelet-derived growth factor receptor (PDGFR) and FMS-like tyrosine kinase 3 (FLT3) tyrosine kinases, which may result in disruption of the cell cycle, inhibition of proliferation, apoptosis, and inhibition of angiogenesis in susceptible tumors.	ncit:C1872 | rxcui:1919083		
PD							Quizartinib	aml_v2.0	An orally available small molecule with potential antineoplastic activity. Quizartinib selectively inhibits class III receptor tyrosine kinases, including FMS-related tyrosine kinase 3 (FLT3/STK1), colony-stimulating factor 1 receptor (CSF1R/FMS), stem cell factor receptor (SCFR/KIT), and platelet derived growth factor receptors (PDGFRs), resulting in inhibition of ligand-independent leukemic cell proliferation and apoptosis. Mutations in FLT3, resulting in constitutive activation, are the most frequent genetic alterations in acute myeloid leukemia (AML) and occur in approximately one-third of AML cases.	ncit:C68936		
PD							Sorafenib	aml_v2.0	A synthetic compound targeting growth signaling and angiogenesis. Sorafenib blocks the enzyme RAF kinase, a critical component of the RAF/MEK/ERK signaling pathway that controls cell division and proliferation; in addition, sorafenib inhibits the VEGFR-2/PDGFR-beta signaling cascade, thereby blocking tumor angiogenesis.	ncit:C61948 | rxcui:495881		
PD							Thiotepa	aml_v2.0 | hl_v2.0	A polyfunctional, organophosphorus alkylating agent and a stable derivative of N,N',N''-triethylenephosphoramide (TEPA), with antineoplastic activity. Upon administration, thiotepa is converted into highly reactive ethylenimine groups, which covalently bind to nucleophilic groups in DNA and demonstrate a preference for the N7 position of guanine bases. This induces crosslinking of alkylated guanine bases in double-stranded DNA, interferes with both DNA replication and cell division, and results in both the induction of apoptosis and the inhibition of cell growth.	ncit:C875 | rxcui:10473		
PD							Tretinoin	aml_v2.0	A naturally-occurring acid of retinol. Tretinoin binds to and activates retinoic acid receptors (RARs), thereby inducing changes in gene expression that lead to cell differentiation, decreased cell proliferation, and inhibition of tumorigenesis. This agent also inhibits telomerase, resulting in telomere shortening and eventual apoptosis of some tumor cell types. The oral form of tretinoin has teratogenic and embryotoxic properties.	ncit:C900 | rxcui:110753		
PD							Other	aml_v2.0 | hl_v2.0	Different than the one(s) previously specified or mentioned.	ncit:C17649		
PD							Amifostine	gct_v2.0	The trihydrate form of a phosphorylated aminosulfhydryl compound. After dephosphorylation of amifostine by alkaline phosphatase to an active free sulfhydryl (thiol) metabolite, the thiol metabolite binds to and detoxifies cytotoxic platinum-containing metabolites of cisplatin and scavenges free radicals induced by cisplatin and ionizing radiation. The elevated activity of this agent in normal tissues results from both the relative abundance of alkaline phosphatase in normal tissues and the greater vascularity of normal tissues compared to tumor tissues.	ncit:C488		
PD							Bleomycin	gct_v2.0 | hl_v2.0	A mixture of glycopeptide antineoplastic antibiotics isolated from the bacterium Streptomyces verticillus. Bleomycin forms complexes with iron that reduce molecular oxygen to superoxide and hydroxyl radicals which cause single- and double-stranded breaks in DNA; these reactive oxygen species also induce lipid peroxidation, carbohydrate oxidation, and alterations in prostaglandin synthesis and degradation.	ncit:C313		
PD							Carboplatin	gct_v2.0 | hl_v2.0	A second-generation platinum compound with a broad spectrum of antineoplastic properties. Carboplatin contains a platinum atom complexed with two ammonia groups and a cyclobutane-dicarboxyl residue. This agent is activated intracellularly to form reactive platinum complexes that bind to nucleophilic groups such as GC-rich sites in DNA, thereby inducing intrastrand and interstrand DNA cross-links, as well as DNA-protein cross-links. These carboplatin-induced DNA and protein effects result in apoptosis and cell growth inhibition. This agent possesses tumoricidal activity similar to that of its parent compound, cisplatin, but is more stable and less toxic. (NCI04)	ncit:C1282 | rxcui:40048		
PD							Cisplatin	gct_v2.0 | hl_v2.0	An alkylating-like inorganic platinum agent (cis-diamminedichloroplatinum) with antineoplastic activity. Cisplatin forms highly reactive, charged, platinum complexes which bind to nucleophilic groups such as GC-rich sites in DNA inducing intrastrand and interstrand DNA cross-links, as well as DNA-protein cross-links. These cross-links result in apoptosis and cell growth inhibition.	ncit:C376		
PD							Dactinomycin	gct_v2.0	A chromopeptide antineoplastic antibiotic isolated from the bacterium Streptomyces parvulus. Dactinomycin intercalates between adjacent guanine-cytosine base pairs, blocking the transcription of DNA by RNA polymerase; it also causes single-strand DNA breaks, possibly via a free-radical intermediate or an interaction with topoisomerase II. (NCI04)	ncit:C412 | rxcui:3100		
PD							Etoposide Phosphate	gct_v2.0	A phosphate salt of a semisynthetic derivative of podophyllotoxin. Etoposide binds to the enzyme topoisomerase II, inducing double-strand DNA breaks, inhibiting DNA repair, and resulting in decreased DNA synthesis and tumor cell proliferation. Cells in the S and G2 phases of the cell cycle are most sensitive to this agent. (NCI04)	ncit:C1093		
PD							Gemcitabine	gct_v2.0 | hl_v2.0	A broad-spectrum antimetabolite and deoxycytidine analogue with antineoplastic activity. Upon administration, gemcitabine is converted into the active metabolites difluorodeoxycytidine diphosphate (dFdCDP) and difluorodeoxycytidine triphosphate (dFdCTP) by deoxycytidine kinase. dFdCTP competes with deoxycytidine triphosphate (dCTP) and is incorporated into DNA. This locks DNA polymerase thereby resulting in "masked termination" during DNA replication. On the other hand, dFdCDP inhibits ribonucleotide reductase, thereby decreasing the deoxynucleotide pool available for DNA synthesis. The reduction in the intracellular concentration of dCTP potentiates the incorporation of dFdCTP into DNA.	ncit:C66876 | rxcui:12574		
PD							Ifosfamide	gct_v2.0 | hl_v2.0	A synthetic analogue of the nitrogen mustard cyclophosphamide with antineoplastic activity. Ifosfamide alkylates and forms DNA crosslinks, thereby preventing DNA strand separation and DNA replication. This agent is a prodrug that must be activated through hydroxylation by hepatic microsomal enzymes. (NCI04)	ncit:C564 | rxcui:5657		
PD							Paclitaxel	gct_v2.0	A compound extracted from the Pacific yew tree Taxus brevifolia with antineoplastic activity. Paclitaxel binds to tubulin and inhibits the disassembly of microtubules, thereby resulting in the inhibition of cell division. This agent also induces apoptosis by binding to and blocking the function of the apoptosis inhibitor protein Bcl-2 (B-cell Leukemia 2). (NCI04)	ncit:C1411		
PD							Sodium Thiosulfate	gct_v2.0	A water soluble salt and reducing agent that reacts with oxidizing agents.  Although its exact mechanism of action is unknown, thiosulfate likely provides an exogenous source of sulfur, thereby hastening the detoxification of cyanide through the enzyme rhodanese (thiosulfate cyanide sulfurtransferase) which converts cyanide to the relatively nontoxic, excretable thiocyanate ion. In addition, this agent neutralizes the reactive alkylating species of nitrogen mustard, thereby decreasing skin toxicity related to nitrogen mustard extravasation. (NCI04)	ncit:C1230		
PD							Vinblastine	gct_v2.0 | hl_v2.0	A natural alkaloid isolated from the plant Vinca rosea Linn. Vinblastine binds to tubulin and inhibits microtubule formation, resulting in disruption of mitotic spindle assembly and arrest of tumor cells in the M phase of the cell cycle. This agent may also interfere with amino acid, cyclic AMP, and glutathione metabolism; calmodulin-dependent Ca++ -transport ATPase activity; cellular respiration; and nucleic acid and lipid biosynthesis. (NCI04)	ncit:C930		
PD							Vincristine	gct_v2.0 | hl_v2.0	A natural alkaloid isolated from the plant Vinca rosea Linn. Vincristine binds irreversibly to microtubules and spindle proteins in S phase of the cell cycle and interferes with the formation of the mitotic spindle, thereby arresting tumor cells in metaphase. This agent also depolymerizes microtubules and may also interfere with amino acid, cyclic AMP, and glutathione metabolism; calmodulin-dependent Ca++ -transport ATPase activity; cellular respiration; and nucleic acid and lipid biosynthesis. (NCI04)	ncit:C933 | rxcui:11202		
PD							Bendamustine	hl_v2.0	A bifunctional mechlorethamine derivative with alkylating and antimetabolite activities. Although the exact mechanism of action of bendamustine is unknown, this agent appears to alkylate and crosslink macromolecules, resulting in DNA, RNA and protein synthesis inhibition, and eventually the induction of apoptosis.	ncit:C73261		
PD							Brentuximab Vedotin	hl_v2.0	An antibody-drug conjugate (ADC) directed against the tumor necrosis factor (TNF) receptor CD30 with potential antineoplastic activity. Brentuximab vedotin is generated by conjugating the chimeric anti-CD30 monoclonal antibody SGN-30 to the cytotoxic agent monomethyl auristatin E (MMAE) via a valine-citrulline peptide linker. Upon administration and internalization by CD30-positive tumor cells, brentuximab vedotin undergoes enzymatic cleavage, releasing MMAE into the cytosol; MMAE binds to tubulin and inhibits tubulin polymerization, which may result in G2/M phase arrest and tumor cell apoptosis. Transiently activated during lymphocyte activation, CD30 (tumor necrosis factor receptor superfamily, member 8;TNFRSF8) may be constitutively expressed in hematologic malignancies including Hodgkin lymphoma and some T-cell non-Hodgkin lymphomas. The linkage system in brentuximab vedotin is highly stable in plasma, resulting in cytotoxic specificity for CD30-positive cells.	ncit:C66944		
PD							Carmustine	hl_v2.0	An antineoplastic nitrosourea. Carmustine alkylates and cross-links DNA during all phases of the cell cycle, resulting in disruption of DNA function, cell cycle arrest, and apoptosis. This agent also carbamoylates proteins, including DNA repair enzymes, resulting in an enhanced cytotoxic effect. Carmustine is highly lipophilic and crosses the blood-brain barrier readily. (NCI04)	ncit:C349		
PD							Dacarbazine	hl_v2.0	A triazene derivative with antineoplastic activity. Dacarbazine alkylates and cross-links DNA during all phases of the cell cycle, resulting in disruption of DNA function, cell cycle arrest, and apoptosis. (NCI04)	ncit:C411		
PD							Dexamethasone	hl_v2.0	A synthetic adrenal corticosteroid with potent anti-inflammatory properties. In addition to binding to specific nuclear steroid receptors, dexamethasone also interferes with NF-kB activation and apoptotic pathways. This agent lacks the salt-retaining properties of other related adrenal hormones. (NCI04)	ncit:C422		
PD							Etopophos	hl_v2.0	A phosphate salt of a semisynthetic derivative of podophyllotoxin. Etoposide binds to the enzyme topoisomerase II, inducing double-strand DNA breaks, inhibiting DNA repair, and resulting in decreased DNA synthesis and tumor cell proliferation. Cells in the S and G2 phases of the cell cycle are most sensitive to this agent. (NCI04)	ncit:C1093		
PD							Nitrogen Mustard	hl_v2.0	A synthetic agent related to sulphur mustard with antineoplastic and immunosuppressive properties. Nitrogen mustard (a member of a family of chemotherapy agents including cyclophosphamide and chlorambucil) is an irritant and carcinogenic agent metabolized to a highly reactive ethylene immonium derivative; the ethylene immonium derivative alkylates DNA and inhibits DNA replication. This agent also exhibits lympholytic properties. (NCI04)	ncit:C62056		
PD							Nivolumab	hl_v2.0	A fully human immunoglobulin (Ig) G4 monoclonal antibody directed against the negative immunoregulatory human cell surface receptor programmed death-1 (PD-1, PCD-1) with immune checkpoint inhibitory and antineoplastic activities. Upon administration, nivolumab binds to and blocks the activation of PD-1, an immunoglobulin superfamily (IgSF) transmembrane protein, by its ligands programmed cell death ligand 1 (PD-L1), which is overexpressed on certain cancer cells, and programmed cell death ligand 2 (PD-L2), which is primarily expressed on antigen-presenting cells (APCs). This results in the activation of T-cells and cell-mediated immune responses against tumor cells. Activated PD-1 negatively regulates T-cell activation and plays a key role in tumor evasion from host immunity.	ncit:C68814		
PD							Pembroluzimab	hl_v2.0	A humanized monoclonal immunoglobulin (Ig) G4 antibody directed against human cell surface receptor PD-1 (programmed death-1 or programmed cell death-1) with potential immune checkpoint inhibitory and antineoplastic activities. Upon administration, pembrolizumab binds to PD-1, an inhibitory signaling receptor expressed on the surface of activated T cells, and blocks the binding to and activation of PD-1 by its ligands, which results in the activation of T-cell-mediated immune responses against tumor cells. The ligands for PD-1 include programmed cell death ligand 1 (PD-L1), overexpressed on certain cancer cells, and programmed cell death ligand 2 (PD-L2), which is primarily expressed on APCs. Activated PD-1 negatively regulates T-cell activation and plays a key role in in tumor evasion from host immunity.	ncit:C106432		
PD							Prednisone	hl_v2.0	A synthetic glucocorticoid with anti-inflammatory and immunomodulating properties. After cell surface receptor attachment and cell entry, prednisone enters the nucleus where it binds to and activates specific nuclear receptors, resulting in an altered gene expression and inhibition of proinflammatory cytokine production. This agent also decreases the number of circulating lymphocytes, induces cell differentiation, and stimulates apoptosis in sensitive tumor cell populations.	ncit:C770		
PD							Procarbazine	hl_v2.0	A methylhydrazine derivative with antineoplastic and mutagenic activities. Although the exact mode of cytotoxicity has not been elucidated, procarbazine, after metabolic activation, appears to inhibit the trans-methylation of methionine into transfer RNA (t-RNA), thereby preventing protein synthesis and consequently DNA and RNA synthesis. This agent may also undergo auto-oxidation, resulting in the formation of cytotoxic free radicals which damage DNA through an alkylation reaction.	ncit:C62072		
PD							Vinorelbine	hl_v2.0	A semisynthetic vinca alkaloid. Vinorelbine binds to tubulin and prevents formation of the mitotic spindle, resulting in the arrest of tumor cell growth in metaphase. This agent may also interfere with amino acid, cyclic AMP. and glutathione metabolism; calmodulin-dependent Ca++ -transport ATPase activity; cellular respiration; and nucleic acid and lipid biosynthesis.	ncit:C1275		
PD							Systemic Corticosteroid	hl_v2.0	Treatment with corticosteroids via a delivery method that will affect the entire body (oral, intramuscular, intravenous).	ncit:C122080		
PD							Topical Corticosteroid	hl_v2.0	Any synthetic steroid derivative exhibiting the same function as the naturally occurring corticosteroid hormone, formulated for topical application. Topical corticosteroids are applied to the skin where it exerts its effect, however, corticosteroids can be absorbed systemically after being applied locally. Topical corticosteroids are mainly used for the localized treatment of inflammation of the skin and help relieve symptoms such as itching, swelling and redness.	ncit:C29505		
PD							Non-Corticosteroid Immunosuppressive Agent	hl_v2.0	An immunosuppressive agent that is not a corticosteroid.	ncit:C185652		
PD							Erythropoeitin	hl_v2.0	Erythropoietin (193 aa, ~21 kDa) is encoded by the human EPO gene. This protein plays a role in both erythropoiesis and the maintenance of red blood cell volume.	ncit:C20429		
PD							Filgrastim	hl_v2.0	A recombinant, non-glycosylated cytokine which is chemically identical to or similar to the endogenous cytokine human granulocyte colony-stimulating factor (G-CSF) isoform B, with immunomodulating activity. Filgrastim binds to and activates G-CSF receptors with the same biological activity and stability as the endogenous cytokine, thereby controlling the production, differentiation, and function of neutrophilic granulocyte progenitors.	ncit:C1474		
